#Te   kappa_tot   kappa_e_ph  kappa_e_e mu Ce
#[K]  [W/(K*m)]   [W/(K*m)]   [W/(K*m)]   [eV]  [J/(m^3*K)]
   4.6000000000000000E+03   7.3643506165576548E+02   8.1436604420418848E+02   7.6956261599964864E+03   1.0411815951398830E-01   5.0699488469574595E+05
   4.7000000000000000E+03   7.5716368907998162E+02   8.3914214593669465E+02   7.7504259928978045E+03   1.0000649224208678E-01   5.2222896925412514E+05
   4.8000000000000000E+03   7.7693445969399761E+02   8.6326608195793665E+02   7.7688933599281772E+03   9.6061050945053947E-02   5.3703875123587647E+05
   4.9000000000000000E+03   7.9617517272523628E+02   8.8672128404975729E+02   7.7969717435702714E+03   9.2274349207818823E-02   5.5141141045295098E+05
   5.0000000000000000E+03   8.1458552052037896E+02   9.0949589662481242E+02   7.8059135235969616E+03   8.8639299105287658E-02   5.6533689808831981E+05
   5.1000000000000000E+03   8.3191845403703587E+02   9.3158244564942402E+02   7.7761347449019677E+03   8.5149176565546450E-02   5.7880777225499600E+05
   5.2000000000000000E+03   8.4830577466926388E+02   9.5297750443244252E+02   7.7233491981932348E+03   8.1797590971901049E-02   5.9181903323933610E+05
   5.3000000000000000E+03   8.6400926834437576E+02   9.7368136091259646E+02   7.6707729427095828E+03   7.8578458905633350E-02   6.0436794764570321E+05
   5.4000000000000000E+03   8.7963344212529898E+02   9.9369768995378286E+02   7.6631349093745430E+03   7.5485981107134434E-02   6.1645387835633627E+05
   5.5000000000000000E+03   8.9421498159401312E+02   1.0130332336084037E+03   7.6239927703661970E+03   7.2514622302177742E-02   6.2807811517960194E+05
   5.6000000000000000E+03   9.0830745051385327E+02   1.0316974916546108E+03   7.5946041486228251E+03   6.9659093500847410E-02   6.3924370445615833E+05
   5.7000000000000000E+03   9.2163237521439248E+02   1.0497024241760753E+03   7.5539889795087747E+03   6.6914336415885511E-02   6.4995528505558718E+05
   5.8000000000000000E+03   9.3431156934914929E+02   1.0670621674121044E+03   7.5100869056356996E+03   6.4275509431354849E-02   6.6021892923709343E+05
   5.9000000000000000E+03   9.4668438777004974E+02   1.0837927639392231E+03   7.4832021052707623E+03   6.1737975239362961E-02   6.7004198910394125E+05
   6.0000000000000000E+03   9.5868569029961714E+02   1.0999119076692702E+03   7.4665301253000162E+03   5.9297289536494824E-02   6.7943295354188443E+05
   6.1000000000000000E+03   9.6896480674677855E+02   1.1154387041003802E+03   7.3789314538910630E+03   5.6949190858453083E-02   6.8840130371723336E+05
   6.2000000000000000E+03                      NaN   1.1303934459019822E+03                      NaN   5.4689591258539998E-02   6.9695738588385831E+05
   6.3000000000000000E+03   9.8848859311006049E+02   1.1447974037971017E+03   7.2396378048141869E+03   5.2514567751485282E-02   7.0511228622665850E+05
   6.4000000000000000E+03   9.9743893163204018E+02   1.1586726325114801E+03   7.1678885144967080E+03   5.0420354326377495E-02   7.1287771517865325E+05
   6.5000000000000000E+03   1.0060918945357722E+03   1.1720417915184464E+03   7.1056491624517612E+03   4.8403334587570943E-02   7.2026589930393524E+05
   6.6000000000000000E+03   1.0145663644013679E+03   1.1849279801245989E+03   7.0566839118592388E+03   4.6460034827326017E-02   7.2728948239716096E+05
   6.7000000000000000E+03   1.0220426184149325E+03   1.1973545864477255E+03   6.9803986027653955E+03   4.4587117589056258E-02   7.3396143261838076E+05
   6.8000000000000000E+03   1.0286886081429489E+03   1.2093451496758457E+03   6.8862138521451561E+03   4.2781375466065752E-02   7.4029495668207260E+05
   6.9000000000000000E+03   1.0358717658746596E+03   1.2209232351132905E+03   6.8344224056027524E+03   4.1039725371268786E-02   7.4630342537588999E+05
   7.0000000000000000E+03   1.0435999101749812E+03   1.2321123213280196E+03   6.8209424514736238E+03   3.9359203022776394E-02   7.5200029915503366E+05
   7.1000000000000000E+03   1.0488899868544058E+03   1.2429356988295604E+03   6.7185344913632152E+03   3.7736957802343041E-02   7.5739906506331987E+05
