#Te   kappa_tot   kappa_e_ph  kappa_e_e mu Ce
#[K]  [W/(K*m)]   [W/(K*m)]   [W/(K*m)]   [eV]  [J/(m^3*K)]
   5.8000000000000000E+03   1.2322105981666505E+03   1.5066590369820838E+03   6.7645538127524042E+03   3.4651353923697044E+00   1.3956209052495214E+06
   5.9000000000000000E+03   1.2524616770208318E+03   1.5405836004418418E+03   6.6968937902747557E+03   3.4651066115822755E+00   1.4314474611331604E+06
   6.0000000000000000E+03   1.2722225497518696E+03   1.5743323807651341E+03   6.6297119458056013E+03   3.4650335266065606E+00   1.4671476274458475E+06
   6.1000000000000000E+03   1.2905381802473962E+03   1.6079024968423105E+03   6.5384148556900864E+03   3.4649192946610166E+00   1.5026976551257519E+06
   6.2000000000000000E+03   1.3095216227044357E+03   1.6412921356584709E+03   6.4782958608418730E+03   3.4647669483989287E+00   1.5380749779032057E+06
   6.3000000000000000E+03   1.3289743311502418E+03   1.6745004333205109E+03   6.4405209314296490E+03   3.4645793936117881E+00   1.5732582036760573E+06
   6.4000000000000000E+03   1.3473821794246217E+03   1.7075273625701839E+03   6.3882346533484097E+03   3.4643594079169096E+00   1.6082271122064125E+06
   6.5000000000000000E+03   1.3648344054560682E+03   1.7403736270627146E+03   6.3250964690222427E+03   3.4641096410199146E+00   1.6429626276165799E+06
   6.6000000000000000E+03   1.3831821755874437E+03   1.7730405626774684E+03   6.2905870031281338E+03   3.4638326155677737E+00   1.6774468059631588E+06
   6.7000000000000000E+03   1.4020050337277733E+03   1.8055300458831066E+03   6.2731234412315089E+03   3.4635307288767336E+00   1.7116628096921903E+06
   6.8000000000000000E+03   1.4194986804788673E+03   1.8378444091207439E+03   6.2360328672212354E+03   3.4632062554258285E+00   1.7455948820880498E+06
   6.9000000000000000E+03   1.4358540136843505E+03   1.8699863630839816E+03   6.1848130614599568E+03   3.4628613497221932E+00   1.7792283140644168E+06
   7.0000000000000000E+03   1.4518830111586765E+03   1.9019589256824636E+03   6.1354579594461557E+03   3.4624980496694646E+00   1.8125494174598793E+06
   7.1000000000000000E+03   1.4681784629891879E+03   1.9337653574370181E+03   6.0979221797699165E+03   3.4621182802205341E+00   1.8455454906184266E+06
   7.2000000000000000E+03   1.4835727102045739E+03   1.9654091030060345E+03   6.0514883333207717E+03   3.4617238572162008E+00   1.8782047851364431E+06
   7.3000000000000000E+03   1.5008537545928871E+03   1.9968937385204943E+03   6.0419433152366692E+03   3.4613164915081858E+00   1.9105164720010152E+06
   7.4000000000000000E+03   1.5167977491056424E+03   2.0282229243842430E+03   6.0153549631470560E+03   3.4608977931149538E+00   1.9424706032748681E+06
   7.5000000000000000E+03   1.5310393645351899E+03   2.0594003631822052E+03   5.9675544399454748E+03   3.4604692753556456E+00   1.9740580828670333E+06
   7.6000000000000000E+03   1.5468138537272903E+03   2.0904297623582988E+03   5.9481440210287819E+03   3.4600323592355728E+00   2.0052706234950498E+06
   7.7000000000000000E+03   1.5603805569562001E+03   2.1213148012855140E+03   5.9009739636541917E+03   3.4595883774598546E+00   2.0361007204659183E+06
   7.8000000000000000E+03   1.5727671017533696E+03   2.1520591024252180E+03   5.8428007868187215E+03   3.4591385787860949E+00   2.0665416092741815E+06
   7.9000000000000000E+03   1.5888909550762553E+03   2.1826662062017022E+03   5.8406250284281386E+03   3.4586841319286572E+00   2.0965872370809333E+06
   8.0000000000000000E+03   1.6045530308190180E+03   2.2131395493172822E+03   5.8349957870330454E+03   3.4582261296379384E+00   2.1262322279145517E+06
   8.1000000000000000E+03   1.6192058003775007E+03   2.2434824461860339E+03   5.8189903695735466E+03   3.4577655925718278E+00   2.1554718481564075E+06
   8.2000000000000000E+03   1.6297114004880500E+03   2.2736980732019420E+03   5.7539570742190972E+03   3.4573034729703336E+00   2.1843019780967538E+06
   8.3000000000000000E+03   1.6407234924018351E+03   2.3037894556015235E+03   5.7006115396315508E+03   3.4568406583630109E+00   2.2127190788942175E+06
   8.4000000000000000E+03   1.6578596887172780E+03   2.3337594566480511E+03   5.7242891770541582E+03   3.4563779750139085E+00   2.2407201642783396E+06
   8.5000000000000000E+03   1.6687699626645917E+03   2.3636107689251826E+03   5.6765846494249199E+03   3.4559161912681051E+00   2.2683027699638992E+06
