#Te   kappa_tot   kappa_e_ph  kappa_e_e mu Ce
#[K]  [W/(K*m)]   [W/(K*m)]   [W/(K*m)]   [eV]  [J/(m^3*K)]
   1.5800000000000000E+04   1.0143872475898851E+03   1.3106199195574197E+03   4.4879456543606029E+03   4.7791442972484379E+00   3.0335511488945847E+06
   1.5900000000000000E+04   1.0211704617113093E+03   1.3220398075373746E+03   4.4870905573880955E+03   4.7868042654200895E+00   3.0526079049960589E+06
   1.6000000000000000E+04   1.0282673936777362E+03   1.3334438936223703E+03   4.4929307379805523E+03   4.7944481383998596E+00   3.0715575961214015E+06
   1.6100000000000000E+04   1.0356802988543984E+03   1.3448311780542315E+03   4.5052925613567904E+03   4.8020758500920344E+00   3.0903999805130824E+06
   1.6200000000000000E+04   1.0426999602954218E+03   1.3562006701737662E+03   4.5107087173472873E+03   4.8096873356363332E+00   3.1091348163127773E+06
   1.6300000000000000E+04   1.0493482868736478E+03   1.3675513885074711E+03   4.5098168414253360E+03   4.8172825314490897E+00   3.1277617799331080E+06
   1.6400000000000000E+04   1.0563471113962160E+03   1.3788823608461469E+03   4.5160285622087822E+03   4.8248613753879788E+00   3.1462805994245065E+06
   1.6500000000000000E+04   1.0632640327066438E+03   1.3901926243392106E+03   4.5212986989379515E+03   4.8324238065872880E+00   3.1646910011111517E+06
   1.6600000000000000E+04   1.0704929453230989E+03   1.4014812255720551E+03   4.5327156715313549E+03   4.8399697655814649E+00   3.1829927094017384E+06
   1.6700000000000000E+04   1.0773202338172364E+03   1.4127472206482639E+03   4.5374439917684422E+03   4.8474991943051204E+00   3.2011854188163956E+06
   1.6800000000000000E+04   1.0840363133469541E+03   1.4239896752721199E+03   4.5407890926106556E+03   4.8550120360518312E+00   3.2192688209620160E+06
   1.6900000000000000E+04   1.0903783844681559E+03   1.4352076648210545E+03   4.5382440068382703E+03   4.8625082355977023E+00   3.2372426466576434E+06
   1.7000000000000000E+04   1.0974715397070538E+03   1.4464002744247757E+03   4.5493047097133804E+03   4.8699877391601856E+00   3.2551065964077511E+06
   1.7100000000000000E+04   1.1041739380803417E+03   1.4575665990424877E+03   4.5541609361590736E+03   4.8774504943568697E+00   3.2728603395100753E+06
   1.7200000000000000E+04   1.1108713696411887E+03   1.4687057435262946E+03   4.5594925473392177E+03   4.8848964504114294E+00   3.2905035848571733E+06
   1.7300000000000000E+04   1.1174731450164686E+03   1.4798168227010526E+03   4.5637764938498849E+03   4.8923255579888689E+00   3.3080360534300325E+06
   1.7400000000000000E+04   1.1240261598440063E+03   1.4908989614321977E+03   4.5678214004403608E+03   4.8997377692367117E+00   3.3254573483634079E+06
   1.7500000000000000E+04   1.1305288630545754E+03   1.5019512946880052E+03   4.5716121185238344E+03   4.9071330379085492E+00   3.3427672140360102E+06
   1.7600000000000000E+04   1.1369784184478312E+03   1.5129729676098382E+03   4.5751131650745192E+03   4.9145113192816785E+00   3.3599652912116884E+06
   1.7700000000000000E+04   1.1433288700560397E+03   1.5239631355708855E+03   4.5775990436451166E+03   4.9218725702806294E+00   3.3770512763847797E+06
   1.7800000000000000E+04   1.1497666755386381E+03   1.5349209642426176E+03   4.5820623735237186E+03   4.9292167493948291E+00   3.3940248346929816E+06
   1.7900000000000000E+04   1.1561423887358840E+03   1.5458456296571937E+03   4.5860990395244762E+03   4.9365438166373954E+00   3.4108855992813362E+06
