#Te   kappa_tot   kappa_e_ph  kappa_e_e mu Ce
#[K]  [W/(K*m)]   [W/(K*m)]   [W/(K*m)]   [eV]  [J/(m^3*K)]
   6.6000000000000000E+03   1.0347788043126197E+03   3.3128029275909771E+03   1.5048208740663365E+03  -3.4924615147767675E+00   6.9716941280290019E+05
   6.7000000000000000E+03   1.0374817187447504E+03   3.3627907433791938E+03   1.5003743086441834E+03  -3.4921500854794663E+00   7.0772464647019899E+05
   6.8000000000000000E+03   1.0401322889459530E+03   3.4126637834574667E+03   1.4961326333083773E+03  -3.4918938117407383E+00   7.1827515081439272E+05
   6.9000000000000000E+03   1.0428222251453149E+03   3.4624184862244656E+03   1.4922683623996377E+03  -3.4916914441248457E+00   7.2882028030138963E+05
   7.0000000000000000E+03   1.0454971067320305E+03   3.5120514853471677E+03   1.4886514152937393E+03  -3.4915418022789710E+00   7.3935937251416803E+05
   7.1000000000000000E+03   1.0480323126581691E+03   3.5615595923093069E+03   1.4850165209728200E+03  -3.4914437682690349E+00   7.4989174644985772E+05
   7.2000000000000000E+03   1.0505546671641732E+03   3.6109397792300615E+03   1.4816090048493022E+03  -3.4913962805026291E+00   7.6041670321236760E+05
   7.3000000000000000E+03   1.0529562428820389E+03   3.6601891622289013E+03   1.4782028103049458E+03  -3.4913983285068526E+00   7.7093352883331373E+05
   7.4000000000000000E+03   1.0555112142473247E+03   3.7093049853095213E+03   1.4753267762365049E+03  -3.4914489481387565E+00   7.8144149154159869E+05
   7.5000000000000000E+03   1.0578462545457262E+03   3.7582846049579407E+03   1.4722377543870775E+03  -3.4915472174137858E+00   7.9193984623674711E+05
   7.6000000000000000E+03   1.0621134514537905E+03   3.8071254754662214E+03   1.4730715725443285E+03  -3.4916922527359509E+00   8.0242783173926512E+05
   7.7000000000000000E+03   1.0644070144289249E+03   3.8558251351181475E+03   1.4702803889579116E+03  -3.4918832056635707E+00   8.1290467523319554E+05
   7.8000000000000000E+03   1.0669147616271987E+03   3.9043811931728187E+03   1.4680850084089252E+03  -3.4921192599016551E+00   8.2336959034245333E+05
   7.9000000000000000E+03   1.0693471325637133E+03   3.9527913178065692E+03   1.4659226223112028E+03  -3.4923996287886574E+00   8.3382178117800527E+05
   8.0000000000000000E+03   1.0711584814890757E+03   4.0010532249067128E+03   1.4627699873439233E+03  -3.4927235529377585E+00   8.4426044092915149E+05
   8.1000000000000000E+03   1.0751372620767847E+03   4.0491646678180819E+03   1.4638089098479131E+03  -3.4930902982180427E+00   8.5468475545646704E+05
   8.2000000000000000E+03   1.0768990735192510E+03   4.0971234280167664E+03   1.4608810160592670E+03  -3.4934991539828641E+00   8.6509390245216235E+05
   8.3000000000000000E+03   1.0788954447149674E+03   4.1449273066753731E+03   1.4585442654165374E+03  -3.4939494314527453E+00   8.7548705404041719E+05
   8.4000000000000000E+03   1.0805974326411661E+03   4.1925741171504624E+03   1.4558222269794965E+03  -3.4944404623351515E+00   8.8586337898699590E+05
   8.5000000000000000E+03   1.0829339332675843E+03   4.2400616783150472E+03   1.4543936898967131E+03  -3.4949715975266713E+00   8.9622204091523483E+05
   8.6000000000000000E+03   1.0847855201689088E+03   4.2873878087984849E+03   1.4522240962749904E+03  -3.4955422060830079E+00   9.0656220370699186E+05
   8.7000000000000000E+03   1.0875397201022865E+03   4.3345503220011378E+03   1.4517955812037230E+03  -3.4961516741992753E+00   9.1688303055065172E+05
