#Te   kappa_tot   kappa_e_ph  kappa_e_e mu Ce
#[K]  [W/(K*m)]   [W/(K*m)]   [W/(K*m)]   [eV]  [J/(m^3*K)]
   7.1000000000000000E+03   2.0220130760858253E+03   3.1621230226043617E+03   5.6081030776219950E+03   3.0273933994205247E+00   2.1547252204348892E+06
   7.2000000000000000E+03   2.0412117452985658E+03   3.2105327491084108E+03   5.6044295234531610E+03   3.0292689415694456E+00   2.1819991375902365E+06
   7.3000000000000000E+03   2.0576378001323551E+03   3.2591420237397824E+03   5.5814483980024370E+03   3.0311412915010694E+00   2.2089198898571925E+06
   7.4000000000000000E+03   2.0731670482892114E+03   3.3079413013095727E+03   5.5539827517255917E+03   3.0330103107946518E+00   2.2354797356027672E+06
   7.5000000000000000E+03   2.0887485468227642E+03   3.3569202773382658E+03   5.5290322141465394E+03   3.0348759108580019E+00   2.2616716311709601E+06
   7.6000000000000000E+03   2.1046832339903031E+03   3.4060679117992750E+03   5.5085127019211586E+03   3.0367380491814511E+00   2.2874892271456346E+06
   7.7000000000000000E+03   2.1202503975994919E+03   3.4553724554797400E+03   5.4873296260396046E+03   3.0385967255827073E+00   2.3129268350185119E+06
   7.8000000000000000E+03   2.1359681430661726E+03   3.5048214787507577E+03   5.4689474983101336E+03   3.0404519787069288E+00   2.3379794153375439E+06
   7.9000000000000000E+03   2.1520829357029893E+03   3.5544019026451247E+03   5.4547987024612876E+03   3.0423038826088011E+00   2.3626425403277543E+06
   8.0000000000000000E+03   2.1657910293552945E+03   3.6041000320527910E+03   5.4270170760801066E+03   3.0441525434804642E+00   2.3869123710162174E+06
   8.1000000000000000E+03   2.1813584874325475E+03   3.6539015907988269E+03   5.4127238986156426E+03   3.0459980966528768E+00   2.4107856360802548E+06
   8.2000000000000000E+03   2.1951716071444466E+03   3.7037917585096625E+03   5.3893344190705684E+03   3.0478407035698103E+00   2.4342595969996648E+06
   8.3000000000000000E+03   2.2078759910572885E+03   3.7537552089279648E+03   5.3612377385563796E+03   3.0496805490991097E+00   2.4573320307476493E+06
